Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken,Name,Phase1_sub_taken,Phase1_sub_apply,Phase2A_sub_taken,Phase2A_sub_apply,Phase2B_sub_taken,Phase2B_sub_apply,Phase2C_sub_taken,Phase2C_sub_apply,After_Phase1_2A_vac,After_Phase2B_vac,After_Phase2C_vac,Phase2A_oversub,Phase2B_oversub,Phase2C_oversub,Phase2A_oversub_count,Phase2B_oversub_count,Phase2C_oversub_count
190,68,20,56,0,0,122,99,4,127,0,-,122,68,4,56,0,-,Punggol Green Primary School,64.21052631578948,64.21052631578948,100.0,145.58823529411765,20.0,20.0,100.0,226.78571428571428,0,16,0,Yes,No,Yes,31,No,71
130,46,28,78,0,0,84,22,6,129,0,-,84,22,6,78,0,-,Punggol Primary School,64.61538461538461,64.61538461538461,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427,100.0,165.3846153846154,24,22,0,No,No,Yes,No,No,51
190,65,20,61,0,0,125,82,0,74,0,-,125,65,0,61,0,-,Punggol View Primary School,65.78947368421053,65.78947368421053,100.0,126.15384615384615,0.0,0.0,100.0,121.31147540983606,0,20,0,Yes,No,Yes,17,No,13
220,116,44,111,0,0,104,43,22,131,0,-,104,43,22,111,0,-,Qifa Primary School,47.27272727272727,47.27272727272727,37.06896551724138,37.06896551724138,50.0,50.0,100.0,118.01801801801801,73,22,0,No,No,Yes,No,No,20
180,121,54,158,102,88,59,19,5,56,14,-,59,19,5,56,14,-,Qihua Primary School,32.77777777777778,32.77777777777778,15.702479338842975,15.702479338842975,9.25925925925926,9.25925925925926,35.44303797468354,35.44303797468354,102,49,102,No,No,No,No,No,No
150,74,40,121,6,0,76,16,0,115,24,-,76,16,0,115,6,-,Queenstown Primary School,50.66666666666667,50.66666666666667,21.62162162162162,21.62162162162162,0.0,0.0,95.0413223140496,95.0413223140496,58,40,6,No,No,No,No,No,No
140,55,20,40,0,0,85,62,20,82,0,-,85,55,20,40,0,-,Radin Mas Primary School,60.71428571428571,60.71428571428571,100.0,112.72727272727272,100.0,100.0,100.0,204.99999999999997,0,0,0,Yes,No,Yes,7,No,42
210,121,43,90,0,0,89,52,39,125,0,-,89,52,39,90,0,-,Raffles Girls' Primary School,42.38095238095238,42.38095238095238,42.97520661157025,42.97520661157025,90.69767441860465,90.69767441860465,100.0,138.88888888888889,69,4,0,No,No,Yes,No,No,35
180,64,20,42,0,0,116,94,26,81,0,-,116,64,20,42,0,-,Red Swastika School,64.44444444444444,64.44444444444444,100.0,146.875,100.0,130.0,100.0,192.85714285714286,0,0,0,Yes,Yes,Yes,30,6,39
150,65,26,59,0,0,85,49,20,91,0,-,85,49,20,59,0,-,River Valley Primary School,56.666666666666664,56.666666666666664,75.38461538461539,75.38461538461539,76.92307692307693,76.92307692307693,100.0,154.23728813559322,16,6,0,No,No,Yes,No,No,32
150,47,20,58,0,0,103,72,2,83,0,-,103,47,2,58,0,-,Riverside Primary School,68.66666666666667,68.66666666666667,100.0,153.19148936170214,10.0,10.0,100.0,143.10344827586206,0,18,0,Yes,No,Yes,25,No,25
150,47,31,81,0,0,103,14,12,126,0,-,103,14,12,81,0,-,Rivervale Primary School,68.66666666666667,68.66666666666667,29.78723404255319,29.78723404255319,38.70967741935484,38.70967741935484,100.0,155.55555555555557,33,19,0,No,No,Yes,No,No,45
210,73,20,41,0,0,137,113,24,125,0,-,137,73,20,41,0,-,Rosyth School,65.23809523809524,65.23809523809524,100.0,154.7945205479452,100.0,120.0,100.0,304.8780487804878,0,0,0,Yes,Yes,Yes,40,4,84
210,90,20,40,0,0,120,107,34,95,0,-,120,90,20,40,0,-,Rulang Primary School,57.14285714285714,57.14285714285714,100.0,118.88888888888889,100.0,170.0,100.0,237.5,0,0,0,Yes,Yes,Yes,17,14,55
140,53,35,104,0,0,87,8,1,122,0,-,87,8,1,104,0,-,Sembawang Primary School,62.142857142857146,62.142857142857146,15.09433962264151,15.09433962264151,2.857142857142857,2.857142857142857,100.0,117.3076923076923,45,34,0,No,No,Yes,No,No,18
150,90,49,148,129,61,60,4,0,19,68,-,60,4,0,19,68,-,Seng Kang Primary School,40.0,40.0,4.444444444444445,4.444444444444445,0.0,0.0,12.837837837837837,12.837837837837837,86,49,129,No,No,No,No,No,No
220,110,23,49,0,0,111,100,21,120,0,-,111,100,21,49,0,-,Sengkang Green Primary School,50.45454545454545,50.45454545454545,90.9090909090909,90.9090909090909,91.30434782608695,91.30434782608695,100.0,244.89795918367346,10,2,0,No,No,Yes,No,No,71
140,72,30,79,0,0,68,42,11,106,0,-,68,42,11,79,0,-,Shuqun Primary School,48.57142857142857,48.57142857142857,58.333333333333336,58.333333333333336,36.666666666666664,36.666666666666664,100.0,134.17721518987344,30,19,0,No,No,Yes,No,No,27
90,45,32,97,80,68,45,8,0,17,12,-,45,8,0,17,12,-,Si Ling Primary School,50.0,50.0,17.77777777777778,17.77777777777778,0.0,0.0,17.525773195876287,17.525773195876287,37,32,80,No,No,No,No,No,No
132,77,20,40,0,0,55,79,34,73,0,-,55,77,20,40,0,-,Singapore Chinese Girls' Primary School,41.66666666666667,41.66666666666667,100.0,102.59740259740259,100.0,170.0,100.0,182.5,0,0,0,Yes,Yes,Yes,2,14,33
210,78,20,40,0,0,132,95,30,177,0,-,132,78,20,40,0,-,South View Primary School,62.857142857142854,62.857142857142854,100.0,121.79487179487178,100.0,150.0,100.0,442.5,0,0,0,Yes,Yes,Yes,17,10,137
220,99,29,87,6,0,121,74,0,81,22,-,121,74,0,81,6,-,Springdale Primary School,55.00000000000001,55.00000000000001,74.74747474747475,74.74747474747475,0.0,0.0,93.10344827586206,93.10344827586206,25,29,6,No,No,No,No,No,No
180,118,37,82,0,0,62,66,31,124,0,-,62,66,31,82,0,-,St. Andrew's Junior School,34.44444444444444,34.44444444444444,55.932203389830505,55.932203389830505,83.78378378378379,83.78378378378379,100.0,151.21951219512195,52,6,0,No,No,Yes,No,No,42
180,149,67,194,153,102,31,9,6,41,51,-,31,9,6,41,51,-,St. Anthony's Canossian Primary School,17.22222222222222,17.22222222222222,6.0402684563758395,6.0402684563758395,8.955223880597014,8.955223880597014,21.1340206185567,21.1340206185567,140,61,153,No,No,No,No,No,No
160,73,32,65,0,0,87,38,39,105,0,-,87,38,32,65,0,-,St. Anthony's Primary School,54.37499999999999,54.37499999999999,52.054794520547944,52.054794520547944,100.0,121.875,100.0,161.53846153846155,35,0,0,No,Yes,Yes,No,7,40
90,61,34,77,0,0,29,20,24,77,0,-,29,20,24,77,0,-,St. Gabriel's Primary School,32.22222222222222,32.22222222222222,32.78688524590164,32.78688524590164,70.58823529411765,70.58823529411765,100.0,100.0,41,10,0,No,No,No,No,No,No
210,69,20,41,0,0,141,94,40,144,0,-,141,69,20,41,0,-,St. Hilda's Primary School,67.14285714285714,67.14285714285714,100.0,136.23188405797103,100.0,200.0,100.0,351.219512195122,0,0,0,Yes,Yes,Yes,25,20,103
180,107,38,78,0,0,73,56,84,106,0,-,73,56,38,78,0,-,St. Joseph's Institution Junior,40.55555555555556,40.55555555555556,52.336448598130836,52.336448598130836,100.0,221.0526315789474,100.0,135.8974358974359,51,0,0,No,Yes,Yes,No,46,28
132,86,40,101,0,0,46,26,19,122,0,-,46,26,19,101,0,-,St. Margaret's Primary School,34.84848484848485,34.84848484848485,30.23255813953488,30.23255813953488,47.5,47.5,100.0,120.79207920792079,60,21,0,No,No,Yes,No,No,21
