Name,Angklung/Kulintang Ensemble,Art and Crafts,Artistic Gymnastics,Artistic Swimming,Audio Visual Aid,Badminton,Ballet,Basketball,Bowling,Boys' Brigade,Brass Band,Ceramics,Cheerleading,Chinese Calligraphy and Brush Painting,Chinese Chess,Chinese Culture and Language,Chinese Dance,Chinese Drums,Chinese Orchestra,Chinese Weiqi,Choir,Comics and Illustration,Community Service,Concert Band,Cricket,Cultural Dance,Dance - International,Debating and Public Speaking,Design and Innovation,Digital Media,Dikir Barat,English Culture and Language,English Drama,"English Language, Drama and Debating",Ensemble -Mixed Instrument,Entrepreneurship,Environmental Science,Fencing,Floorball,Food and Consumer Education,Football,Gamelan Ensemble,Girl Guides,Girls' Brigade,Golf,Green Club,Guitar Ensemble,Guzheng Ensemble,Handbell Ensemble,Harmonica Ensemble,Health and Fitness,Hockey,Home Economics,Indian Dance,Infocomm Technology,Innovators' Club,International Chess,Journalism,Lion and Dragon Dance,Malay Dance,Mathematics,Media Resource Library,Mind Sports Club,Modern Dance,Modular CCA,Netball,Outdoor Activities Club,Outdoor Adventure,Percussion Ensemble,Photo and Video Society,Photography,Physical Science,Pop and Jazz,Publication,Red Cross Youth,Rhythmic Gymnastics,Robotics,Rockwall Climbing,Rope Skipping,Rugby,Sailing,Scouts,Sepaktakraw,Silat,Softball,Speech and Drama,Strategy Games,String Ensemble,Student Leadership,Swimming,Table Tennis,Taekwondo,Tap Dance,Tchoukball,Tennis,Track and Field,Ukulele Ensemble,Volleyball,Western Orchestra,Wushu
Fern Green Primary School,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
Fernvale Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
First Toa Payoh Primary School,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Frontier Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
Fuchun Primary School,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Fuhua Primary School,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan Eng Seng Primary School,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
Geylang Methodist School (Primary),1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Gongshang Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0
Greendale Primary School,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0
