Name
Anglo-Chinese School (Primary)
Catholic High School (Primary Section)
Henry Park Primary School
Nan Hua Primary School
Nanyang Primary School
Raffles Girls' Primary School
Rosyth School
St. Hilda's Primary School
Tao Nan School
