School_Name,Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken
Innova,120,45,33,84,0,0,75,7,14,86,0,-,75,7,14,84,0,-
Jiemin,120,46,28,83,22,0,74,22,1,62,27,-,74,22,1,62,22,-
Jing Shan,90,35,24,72,5,0,55,22,1,67,5,-,55,22,1,67,5,-
Junyuan,180,94,37,112,35,0,86,42,0,77,70,-,86,42,0,77,35,-
Jurong,120,40,26,82,27,0,80,21,0,55,41,-,80,21,0,55,27,-
Jurong West,120,33,27,78,0,0,87,12,4,93,0,-,87,12,4,78,0,-
Keming,160,60,24,53,0,0,100,49,19,121,0,-,100,49,19,53,0,-
Kheng Cheng,180,98,48,141,30,0,83,15,4,111,55,-,83,15,4,111,30,-
Kong Hwa,210,111,32,64,0,0,99,75,65,129,0,-,99,75,32,64,0,-
Kranji,90,59,33,99,84,77,31,20,0,16,7,-,31,20,0,16,7,-
Kuo Chuan Presbyterian,180,77,31,67,0,0,103,45,54,86,0,-,103,45,31,67,0,-
Lakeside,180,76,38,113,0,0,104,23,0,124,0,-,104,23,0,113,0,-
Lianhua,240,187,79,235,203,143,53,11,1,32,60,-,53,11,1,32,60,-
Maha Bodhi,270,138,37,79,0,0,132,88,33,114,0,-,132,88,33,79,0,-
Maris Stella High,210,128,27,56,0,0,82,106,45,93,0,-,82,106,27,56,0,-
Marsiling,150,88,46,137,55,37,62,11,0,82,18,-,62,11,0,82,18,-
Marymount Convent,180,148,67,188,120,19,32,7,13,68,101,-,32,7,13,68,101,-
Mayflower,130,75,38,115,77,18,55,20,0,38,59,-,55,20,0,38,59,-
Mee Toh,240,123,50,101,0,0,117,34,50,150,0,-,117,34,50,101,0,-
Meridian,130,71,35,108,86,77,59,25,0,22,9,-,59,25,0,22,9,-
Methodist Girls’,150,69,20,40,0,0,81,89,79,70,0,-,81,69,20,40,0,-
Montfort Junior,90,64,38,101,72,8,26,9,15,29,64,-,26,9,15,29,64,-
Nan Chiau,240,97,41,81,0,0,143,35,79,274,0,-,143,35,41,81,0,-
Nan Hua,180,77,20,40,0,0,104,111,38,191,0,-,104,77,20,40,0,-
Nanyang,330,156,20,41,0,0,175,185,37,89,0,-,175,156,20,41,0,-
Naval Base,220,106,35,105,0,0,115,61,1,116,0,-,115,61,1,105,0,-
New Town,150,117,58,173,153,120,33,4,0,20,33,-,33,4,0,20,33,-
Ngee Ann,180,95,42,123,0,0,86,28,4,128,0,-,86,28,4,123,0,-
North Spring,150,85,46,139,102,52,65,7,0,37,50,-,65,7,0,37,50,-
North View,180,99,48,144,26,0,81,15,0,119,58,-,81,15,0,119,26,-
North Vista,180,101,39,117,74,25,79,44,0,43,49,-,79,44,0,43,49,-
Northland,180,60,20,42,0,0,120,62,22,199,0,-,120,60,20,42,0,-
